,name,new_price,old_price,discount,rating,votes
462,Nokia C2-01 3G Mobile Phone - Black,"KSh 3,580","KSh 4,200",15%,3.7 out of 5,3.7 out of 5(3)
463,tretinoin 0.05% Tretino Blemish Discoloration Pigment Spot Scar,"KSh 1,299","KSh 1,500",13%,3.9 out of 5,3.9 out of 5(46)
464,Dark And Lovely Gro Strong Anti Breakage,KSh 450,,,4.6 out of 5,4.6 out of 5(36)
465,300Pcs Christmas Fake Snowflake DIY Wedding New Year-Silver,KSh 183,KSh 366,50%,,
466,"Solarmax 300 WATTS ""Mono""SOLARMAX PANEL+200AH BATTERY+1000W INVERTER+20A C0NTROLLER+4 BULBS+10M CABLE+FREE EXTENSION","KSh 26,000","KSh 49,000",47%,1.5 out of 5,1.5 out of 5(2)
467,Gotv Digital Antenna + 10m Coaxial Cable,"KSh 2,000","KSh 2,100",5%,4.3 out of 5,4.3 out of 5(4)
468,Fashion ALLADIN NANCY LADIES TOP,KSh 675,"KSh 1,350",50%,4.1 out of 5,4.1 out of 5(8)
469,"Door Hinge Brass 4"" Per Pair",KSh 400,KSh 450,11%,,
470,"Oraimo Powerbank- PB 10,000Mah,,,,,,WHITE/BLACK...","KSh 1,890","KSh 3,000",37%,3.6 out of 5,3.6 out of 5(8)
471,Gotv Decorder Only + 1 Month Free Subscription,"KSh 3,499","KSh 3,999",13%,,
472,Beauty Glazed Gorgeous Me Eye Shadow Palette,"KSh 1,290","KSh 1,500",14%,5 out of 5,5 out of 5(1)
473,Knorr Soft Cube Beef Chilli Seasoning 6's,KSh 100,,,5 out of 5,5 out of 5(4)
474,Maybelline Crayon Khol Colossal Kajal Black,KSh 800,,,4.4 out of 5,4.4 out of 5(71)
475,Ultrasonic Aroma Humidifier Air Purifier Essential Oil,"KSh 1,590","KSh 2,800",43%,5 out of 5,5 out of 5(5)
476,1.2M Computer Office Desk Workstation With Metal Frame (Unassembled),"KSh 6,499","KSh 10,000",35%,4.2 out of 5,4.2 out of 5(5)
477,GARBAGE BAGS 50pcs-BIN LINERS,KSh 800,,,2.3 out of 5,2.3 out of 5(3)
478,Vision Plus Sound Bar 110W RMS-BLACK,"KSh 11,200","KSh 15,000",25%,3 out of 5,3 out of 5(2)
479,Fashion Cute Hip Hop Titanium Steel Bear Pendant Necklace,KSh 238,KSh 270,12%,4.8 out of 5,4.8 out of 5(13)
480,Velvex Furniture Polish Lemon Scented 300ml,KSh 299,,,4.4 out of 5,4.4 out of 5(8)
481,PRO3 Portable Mini Bluetooth Headset Wireless Invisible Earbuds Sports Headphones,KSh 774,"KSh 1,318",41%,3.8 out of 5,3.8 out of 5(4)
482,Miniso Korean Style 0.55cm Rubber Band 10pcs,KSh 167,,,4 out of 5,4 out of 5(2)
483,300ml Salon Bottle Plastic Hairdressing Watering Can Water Spray For Barber Hair Tool Haircut Mist Sprayer,KSh 262,,,5 out of 5,5 out of 5(1)
484,2 Layer Over The Sink Dish Rack,"KSh 8,998",,,,
485,14 Piece Heavy Duty Sufurias With Lids,"KSh 6,894","KSh 10,000",31%,4 out of 5,4 out of 5(12)
486,Luodais Classic Human Hair Wig/ Weave Repair Serum+1pc Pc ORS Wrap Oconut Oil Setting Mousse,KSh 570 - KSh 770,"KSh 1,000 - KSh 1,300",43%,5 out of 5,5 out of 5(1)
487,Fashion 6 Pcs Pure Cotton Seamless Ladies Pants,"KSh 2,068","KSh 2,368",13%,4.5 out of 5,4.5 out of 5(10)
488,Pedrollo WATER PUMP 0.5 HP ITALY PKM60,"KSh 7,500","KSh 15,000",50%,4 out of 5,4 out of 5(3)
489,Nunix Table Top 2Burner Auto ignition Gas Stove Cooker,"KSh 2,377","KSh 3,499",32%,,
490,Dstv Full Kit + 1month Free Subscription (FAMILY),"KSh 5,500","KSh 6,000",8%,5 out of 5,5 out of 5(3)
491,"Vibrant Glamour Retinol Eye Cream Dark Circles,Bags,Wrinkles, Retinol Eye Cream Skin Firming Cream",KSh 599,"KSh 1,100",46%,,
492,Fashion Men's Zipper Pocket Bomber Jacket.,"KSh 2,590 - KSh 2,749","KSh 4,500 - KSh 4,900",44%,4.1 out of 5,4.1 out of 5(7)
493,Fashion Sunglasses Bluetooth Earphones Wireless Headphones The Matrix Headset FBI Woman,"KSh 1,298","KSh 1,580",18%,3.5 out of 5,3.5 out of 5(11)
494,EA Sports FC 24 - Nintendo Switch,"KSh 8,400","KSh 12,000",30%,5 out of 5,5 out of 5(1)
495,30cm 1080P HDMI Port Male To 2 Female Splitter Cable,KSh 522,KSh 745,30%,4 out of 5,4 out of 5(5)
496,"128 Egg Incubator Intelligent Automatic Egg Hatcher -can Use Electricity, Solar Or Battery","KSh 23,999","KSh 24,000",1%,4 out of 5,4 out of 5(4)
497,"Itel 5081 2.40 "",Triple SIM/It5081, Kabambe Button Phone+ Free Belt & Watch","KSh 2,550","KSh 3,900",35%,5 out of 5,5 out of 5(1)
498,Faiba JTL 4G PORTABLE WIFI MIFI ROUTER,"KSh 6,998","KSh 7,000",1%,4.4 out of 5,4.4 out of 5(5)
499,Tide Washing Machine Laundry Pods - 39pods,"KSh 4,190","KSh 4,600",9%,4.5 out of 5,4.5 out of 5(2)
500,Fashion Wavy Hair Extention,KSh 810 - KSh 840,"KSh 1,200",33%,3.6 out of 5,3.6 out of 5(9)
501,Soft Grey Fluffy Carpets Area Non-slip Rugs Floor Mat,"KSh 2,650","KSh 4,000",34%,4.5 out of 5,4.5 out of 5(4)
502,Pzx 10400Mah Portable Smart Power Bank,"KSh 1,385","KSh 1,390",1%,,
503,Mini Wireless Stereo In-Ear Headset Earphone,KSh 517,,,2.3 out of 5,2.3 out of 5(4)
504,1/12 Dollhouse Wooden Furniture Miniature Round,KSh 475,KSh 949,50%,1 out of 5,1 out of 5(3)
505,24Pcs 3cm Plastic Christmas Tree Balls Baubles Home-19#,KSh 662,"KSh 1,324",50%,,
506,Herblink Tongkat Ali 100gms,"KSh 1,300","KSh 1,600",19%,5 out of 5,5 out of 5(1)
507,Beauty Makeup Brushes Set Foundation Powder Blush-5pcs,KSh 360,KSh 499,28%,2.3 out of 5,2.3 out of 5(3)
508,"SeriPlus Seri 100% Pure Acetone,Nail Polish Remover-500mL",KSh 999,,,4.2 out of 5,4.2 out of 5(6)
509,Advance 32GB Flash Disk - Silver+Free USB Cable + GIFTS,"KSh 1,050","KSh 1,200",13%,,
510,Tolsen Ratchet Tie Downs Ratchet Tie Down Straps Set,"KSh 850 - KSh 3,300",,,4.3 out of 5,4.3 out of 5(3)
511,Fashion 1 Pair Ear Stud Rose Flower Shape Versatile Alloy Faux-Pink,KSh 98,KSh 196,50%,4 out of 5,4 out of 5(5)
512,Tecno Spark 10/Spark 10C Fashion Silicone Cover Case+Bluetooth Headset+Screen Protector.,KSh 695,KSh 900,23%,4.5 out of 5,4.5 out of 5(2)
513,Fashion Water Proof Mattress Protector,"KSh 2,165 - KSh 2,540","KSh 2,300 - KSh 3,000",25%,4.5 out of 5,4.5 out of 5(20)
514,"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh+CELLINY 2","KSh 14,199","KSh 25,000",43%,4 out of 5,4 out of 5(2)
515,Motorcycle Cover Waterproof Outdoor Sun Rain Dust Snow Leaf Protection Motorcycle Covers,"KSh 1,998","KSh 3,492",43%,4.4 out of 5,4.4 out of 5(41)
516,3 Modes Led Table Lamp Generic Rechargeable Eye Caring Touch Stepless Dimming,"KSh 1,093","KSh 2,078",47%,4.3 out of 5,4.3 out of 5(24)
517,Fashion Women Corset Workout Waist Trainer Girdle Gl Ladies Tummy Control Body Shaper Underbust Slimming Belt WeigthLoss,KSh 800,"KSh 1,200",33%,4.2 out of 5,4.2 out of 5(11)
518,Mara Amla Oil Infusion ( Infused In Coconut Oil) -250ml,KSh 750,,,4.4 out of 5,4.4 out of 5(13)
519,"Ambie True Wireless Earbuds AM-TW01 AMBIE, Bluetooth Ear Clips","KSh 3,000","KSh 5,000",40%,,
520,Faiba JTL 4G PORTABLE WIFI MIFI ROUTER,"KSh 6,998","KSh 7,000",1%,4.4 out of 5,4.4 out of 5(5)
521,Tide Washing Machine Laundry Pods - 39pods,"KSh 4,190","KSh 4,600",9%,4.5 out of 5,4.5 out of 5(2)
522,Fashion Wavy Hair Extention,KSh 810 - KSh 840,"KSh 1,200",33%,3.6 out of 5,3.6 out of 5(9)
523,Soft Grey Fluffy Carpets Area Non-slip Rugs Floor Mat,"KSh 2,650","KSh 4,000",34%,4.5 out of 5,4.5 out of 5(4)
524,Pzx 10400Mah Portable Smart Power Bank,"KSh 1,385","KSh 1,390",1%,,
525,Mini Wireless Stereo In-Ear Headset Earphone,KSh 517,,,2.3 out of 5,2.3 out of 5(4)
526,1/12 Dollhouse Wooden Furniture Miniature Round,KSh 475,KSh 949,50%,1 out of 5,1 out of 5(3)
527,24Pcs 3cm Plastic Christmas Tree Balls Baubles Home-19#,KSh 662,"KSh 1,324",50%,,
528,Herblink Tongkat Ali 100gms,"KSh 1,300","KSh 1,600",19%,5 out of 5,5 out of 5(1)
529,Beauty Makeup Brushes Set Foundation Powder Blush-5pcs,KSh 360,KSh 499,28%,2.3 out of 5,2.3 out of 5(3)
530,"SeriPlus Seri 100% Pure Acetone,Nail Polish Remover-500mL",KSh 999,,,4.2 out of 5,4.2 out of 5(6)
531,Five Toes Forefoot Pads For High Heels Metatarsal Pads Foot Cushion Half Insoles Inserts,KSh 340,KSh 599,43%,,
532,Advance 32GB Flash Disk - Silver+Free USB Cable + GIFTS,"KSh 1,050","KSh 1,200",13%,,
533,Tolsen Ratchet Tie Downs Ratchet Tie Down Straps Set,"KSh 850 - KSh 3,300",,,4.3 out of 5,4.3 out of 5(3)
534,Fashion 1 Pair Ear Stud Rose Flower Shape Versatile Alloy Faux-Pink,KSh 98,KSh 196,50%,4 out of 5,4 out of 5(5)
535,Tecno Spark 10/Spark 10C Fashion Silicone Cover Case+Bluetooth Headset+Screen Protector.,KSh 695,KSh 900,23%,4.5 out of 5,4.5 out of 5(2)
536,Fashion Water Proof Mattress Protector,"KSh 2,165 - KSh 2,540","KSh 2,300 - KSh 3,000",25%,4.5 out of 5,4.5 out of 5(20)
537,"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh+CELLINY 2","KSh 14,199","KSh 25,000",43%,4 out of 5,4 out of 5(2)
538,Motorcycle Cover Waterproof Outdoor Sun Rain Dust Snow Leaf Protection Motorcycle Covers,"KSh 1,998","KSh 3,492",43%,4.4 out of 5,4.4 out of 5(41)
539,3 Modes Led Table Lamp Generic Rechargeable Eye Caring Touch Stepless Dimming,"KSh 1,093","KSh 2,078",47%,4.3 out of 5,4.3 out of 5(24)
540,Fashion Women Corset Workout Waist Trainer Girdle Gl Ladies Tummy Control Body Shaper Underbust Slimming Belt WeigthLoss,KSh 800,"KSh 1,200",33%,4.2 out of 5,4.2 out of 5(11)
541,Mara Amla Oil Infusion ( Infused In Coconut Oil) -250ml,KSh 750,,,4.4 out of 5,4.4 out of 5(13)
542,"Ambie True Wireless Earbuds AM-TW01 AMBIE, Bluetooth Ear Clips","KSh 3,000","KSh 5,000",40%,,
543,Tecno Spark 7 Slim Fit Classy Cover Case + Scr. Protector + Bluetooth Headset + OTG Cable.,KSh 750,"KSh 1,000",25%,1 out of 5,1 out of 5(1)
544,The Ordinary Glycolic Acid 7% Toning Solution _240ML,"KSh 1,018",,,3.8 out of 5,3.8 out of 5(16)
545,Multifunction Laser Level With Adjustment Tripod,"KSh 1,890","KSh 2,499",24%,5 out of 5,5 out of 5(1)
546,Fashion African Men's Shirt / Long Sleeved Casual Men's Shirt /  Ankara Style Shirt,"KSh 2,600 - KSh 2,800","KSh 2,800 - KSh 3,800",26%,2.3 out of 5,2.3 out of 5(3)
547,Full Body Sculptor Massager - Relax & Spin - Tone Slimmer,"KSh 1,545","KSh 2,500",38%,,
548,Hot Crush Padded Hip Up Booty Booster Biker Sexy Butt' Lifter Boyshorts Mid Rise Curvy Hips Butt Enhancer,KSh 999,"KSh 1,399",29%,,
549,"4Pcs Door Handle Stickers, Carbon Fiber Cup Guards,",KSh 279,KSh 502,44%,4.3 out of 5,4.3 out of 5(3)
550,P47 Wireless  Bluetooth  Stereo Headset - White,KSh 799,"KSh 1,598",50%,3 out of 5,3 out of 5(1)
551,2 in 1 USB OTG Card Reader Universal Type C OTG TF/SD Card Reader Phone Extension Headers USB C OTG Adapter,KSh 449,KSh 800,44%,4 out of 5,4 out of 5(1)
552,Chess Bag Magnetic Chess Board - Foldable,KSh 949,"KSh 1,000",5%,4.6 out of 5,4.6 out of 5(31)
553,Nokia C2-01 3G Mobile Phone - Black,"KSh 3,580","KSh 4,200",15%,3.7 out of 5,3.7 out of 5(3)
554,Dark And Lovely Gro Strong Anti Breakage,KSh 450,,,4.6 out of 5,4.6 out of 5(36)
555,300Pcs Christmas Fake Snowflake DIY Wedding New Year-Silver,KSh 183,KSh 366,50%,,
556,Gotv Digital Antenna + 10m Coaxial Cable,"KSh 2,000","KSh 2,100",5%,4.3 out of 5,4.3 out of 5(4)
557,Fashion ALLADIN NANCY LADIES TOP,KSh 675,"KSh 1,350",50%,4.1 out of 5,4.1 out of 5(8)
558,"Door Hinge Brass 4"" Per Pair",KSh 400,KSh 450,11%,,
559,"Oraimo Powerbank- PB 10,000Mah,,,,,,WHITE/BLACK...","KSh 1,890","KSh 3,000",37%,3.6 out of 5,3.6 out of 5(8)
560,Big Purple Round Mosquito Net For Single Bed-FREE SIZE.,KSh 950,"KSh 1,738",45%,4.5 out of 5,4.5 out of 5(2)
561,AB Wheel Abs Workout Roller + Free Skipping Rope And Mat,"KSh 1,175","KSh 2,200",47%,,
562,Fashion 3PCs LOVELY Girls Boyshorts Pure Cotton Comfy Girls Boxers,KSh 599,KSh 599 - KSh 800,25%,5 out of 5,5 out of 5(5)
563,Essential Oils For Aroma 10 ML,KSh 745,"KSh 1,400",47%,4 out of 5,4 out of 5(2)
564,58pcs Building Blocks Toy Smart Stick Kids,KSh 690,,,4.7 out of 5,4.7 out of 5(3)
565,Legatus 360 Degree Full Color Night Vision Wireless Bulb Lamp Camera 1080P Free 64 GB Memory Card,"KSh 3,999","KSh 6,000",33%,4.3 out of 5,4.3 out of 5(3)
566,Power Suction 2In1 Vacuum Cleaner Wet/Dry Carpet/Floor/Car/Pet,"KSh 6,299","KSh 10,000",37%,3 out of 5,3 out of 5(2)
567,Makita Accessories Makita Cordless Drill 47PC Tool Set 36v WITH 2 Batteries,"KSh 7,999","KSh 10,000",20%,,
568,Nunix K1 Table Top Hot And Normal Water Dispenser,"KSh 5,440",,,3.8 out of 5,3.8 out of 5(4)
569,"White Melamine Saucer Plates, 16cm – Set Of 6",KSh 685,KSh 825,17%,5 out of 5,5 out of 5(1)
570,Cantu Coconut Curling Cream+ Curl Activator+ Shea Butter Leave In,"KSh 3,499","KSh 5,000",30%,4.9 out of 5,4.9 out of 5(21)
571,Disaar Probiotic Mouth Spray For Fresh Breath- Lemon Flavor,KSh 299,KSh 500,40%,2 out of 5,2 out of 5(1)
572,Jumia Books Holy Bible With Zipped Case - King James Version Black,KSh 980,,,4.5 out of 5,4.5 out of 5(24)
573,Fashion Pure Color Multi-function Pockets Waterproof Chest Bag Waist Crossbody Sports Bag (Black),KSh 731,"KSh 1,044",30%,4.1 out of 5,4.1 out of 5(8)
574,Disaar Probiotic Spray Fresh Breath Grape Flavor Oral Freshner 20ml,KSh 280,KSh 550,49%,4.8 out of 5,4.8 out of 5(12)
575,Kinbar High Security Alarm Padlock,"KSh 1,900","KSh 2,300",17%,3 out of 5,3 out of 5(2)
576,Mini Portable LED Flashlight Waterproof Light Three Modes,KSh 520,"KSh 1,040",50%,,
577,Fashion Sparkly Rhinestones U Shape Nose Stud Hoop Nose Ring-Silver,KSh 125,KSh 250,50%,3.9 out of 5,3.9 out of 5(7)
578,24Pcs Christmas Balls Bright Color Matte-Champaign Gold,KSh 876,"KSh 1,752",50%,,
579,Barksdale SATA To USB 3.0 Adapter Cable For 2.5 Inch HDD/SSD Hard Drive Adapter Converter,"KSh 1,599","KSh 2,000",20%,4.9 out of 5,4.9 out of 5(7)
580,Fashion Patchwork Irregular Oblique Button Dress Shirts,"KSh 2,600 - KSh 2,700","KSh 4,000 - KSh 4,200",36%,5 out of 5,5 out of 5(1)
581,"Mekis Amla + Rosemary Oil + Peppermint Oils-Stimulate hair follicles, promote hair growth, and reduce hair fall.",KSh 530 - KSh 950,"KSh 899 - KSh 1,399",41%,4 out of 5,4 out of 5(2)
582,Velvex Premium Blue Pocket Tissues 10 Pack,KSh 200,,,4.6 out of 5,4.6 out of 5(57)
583,Fashion 3PCS Soft Hanging Wipe /Kitchen Towel,KSh 599 - KSh 999,"KSh 700 - KSh 1,200",17%,4.6 out of 5,4.6 out of 5(5)
584,Fashion Reflector Visibility Safety Vest With Pockets And Zipper Unisex  (4 Pieces),"KSh 2,600","KSh 3,000",13%,5 out of 5,5 out of 5(1)
585,Nunix 5L Multi-Functional Electric Pressure Cooker Rice Cooker,"KSh 6,985","KSh 10,090",31%,4 out of 5,4 out of 5(1)
586,Samsung 35W USB Type C - Type C PD Adapter Head,"KSh 1,449","KSh 1,699",15%,5 out of 5,5 out of 5(3)
587,207ML Spice Glass Jars With Golden Lids,"KSh 1,100","KSh 1,200",8%,4.7 out of 5,4.7 out of 5(6)
588,Nilkin CamShield Pro Protective Case for Samsung Galaxy S23 Ultra 5G 6.8 inch,"KSh 2,000","KSh 3,000",33%,4.5 out of 5,4.5 out of 5(2)
589,Fashion Engagement Ring - Classic Proposal Wedding Band,KSh 239,KSh 326,27%,3.7 out of 5,3.7 out of 5(18)
590,Toilet Paper Holder For Cistern Tissue Holder,KSh 899,"KSh 1,200",25%,4.5 out of 5,4.5 out of 5(4)
591,Fashion Double Colour Bomber Jacket,"KSh 2,500 - KSh 2,800","KSh 4,000",38%,,
592,Jumia Books  THE SUBTLE ART OF NOT GIVING A F*CK By Mark Manson,KSh 699,KSh 999,30%,3.6 out of 5,3.6 out of 5(5)
593,Electric Fast Hair Auto Straightener Hair Brush Comb,"KSh 1,927","KSh 3,400",43%,,
594,HOMMY 3D CARPETS,"KSh 6,500","KSh 7,000",7%,2.3 out of 5,2.3 out of 5(3)
595,Bebe Kids Study Tablets 64GB/4GB,"KSh 9,870 - KSh 9,900","KSh 15,000",34%,,
596,Santa Christmas Hats & New Year Hats- Adults & Children,"KSh 402 - KSh 1,350","KSh 550 - KSh 1,750",27%,5 out of 5,5 out of 5(1)
597,"Ecoflow 220Watt Bifacial Foldable Solar Panel, Complete with Adjustable Kickstand, Waterproof IP68 & Durable for Off The Grid Living","KSh 74,999",,,5 out of 5,5 out of 5(1)
598,For Xiaomi Mi Band 6 Silicone Strap Watchband-Black,KSh 199,KSh 284,30%,4.6 out of 5,4.6 out of 5(9)
599,UKA Remote Control,KSh 990,"KSh 1,800",45%,4.5 out of 5,4.5 out of 5(4)
600,Wireless Bluetooth Headsets Earphone Earpods Stereo Hifi 5.0,KSh 565,"KSh 1,034",45%,4.1 out of 5,4.1 out of 5(7)
601,Fashion Men Hip Hop Trucker Cap Streetwear Cap,KSh 399 - KSh 449,KSh 500 - KSh 550,27%,3.8 out of 5,3.8 out of 5(328)
602,Fashion 4PCs Very Sexy Seamless Soft Lace Panties,KSh 945 - KSh 965,"KSh 1,300",27%,4.4 out of 5,4.4 out of 5(181)
603,Fashion 4 PCS Backpacks Women Bags Handbags School Bags Satchels Ladies Bags,KSh 899,"KSh 1,567",43%,3.1 out of 5,3.1 out of 5(62)
604,4you 2L Electric Automatic Kettle,KSh 934,"KSh 1,500",38%,4.1 out of 5,4.1 out of 5(75)
605,L'Oreal Glycolic Bright Glowing Cream Night 50ml,"KSh 1,440","KSh 1,800",20%,4.1 out of 5,4.1 out of 5(7)
606,"Roch RS-6030S, 3.1CH Sub Woofer Sound System, 12000W - Black","KSh 5,099","KSh 7,499",32%,4.7 out of 5,4.7 out of 5(11)
607,"Tecno Pop 7  6.6"" Display 2GB RAM + 64GB ROM, 8MP , 5000mAh, Black + Free Gifts","KSh 12,599","KSh 19,999",37%,4.4 out of 5,4.4 out of 5(16)
608,Fashion 4PCs Sexy Floral Soft Silk Seamless Thong Panties(Hips 36-44inc),KSh 699,"KSh 1,000",30%,4.2 out of 5,4.2 out of 5(215)
609,Fashion Mens Long Sleeve Casual Pattern Floral Polo Business Printed Shirts Official Vintage,"KSh 1,205","KSh 2,000",40%,3.7 out of 5,3.7 out of 5(29)
610,Garnier Even & Matte Scrub - 100ml,KSh 995,,,4.7 out of 5,4.7 out of 5(24)
611,Fashion 10 Pack Soft Khaki For Men-Multicolour+Free 5 Pairs Of Socks,"KSh 10,400 - KSh 10,999","KSh 10,499 - KSh 12,999",20%,4.5 out of 5,4.5 out of 5(6)
612,Smartwatch Business Bluetooth Waterproof Sport,KSh 780,"KSh 1,481",47%,3.3 out of 5,3.3 out of 5(56)
613,Fashion Mens Zipper Turtleneck Long Sleeve Varsity Jackets Lightweight Sport Coats - Black,"KSh 1,020 - KSh 1,050","KSh 1,672",39%,3.8 out of 5,3.8 out of 5(41)
614,"Infinix Smart 7 Plus 6.6"" HD+, 64GB ROM + 3GB RAM, 6000mAh +  Free Gifts","KSh 13,990","KSh 18,999",26%,4 out of 5,4 out of 5(66)
615,Makeup Sponges Beauty Blender Sponge Pink 4pcs /Set,KSh 409,KSh 450,9%,5 out of 5,5 out of 5(12)
616,Fashion Vintage Breathable High Top Casual Canvas Sneakers,"KSh 1,249 - KSh 1,299","KSh 1,299 - KSh 1,799",31%,3.9 out of 5,3.9 out of 5(398)
617,"Bontel L200 ,,,Big Speaker,Power Bank Option//  Dual Sim- Black..C.E","KSh 1,230","KSh 2,000",39%,3.9 out of 5,3.9 out of 5(14)
618,Sandisk 16gb 32gb 64gb 128gb Otg Usb Flash Disk,"KSh 899 - KSh 2,498",,,4.4 out of 5,4.4 out of 5(41)
619,"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Rust","KSh 1,900",,,4.6 out of 5,4.6 out of 5(44)
620,UNCOVER PIMPLE PATCH - I AM SPOTLESS 18 PATCHES,KSh 999,,,4.3 out of 5,4.3 out of 5(146)
621,Kericho Gold Kericho Gold Loose Tea - 250g,KSh 214,KSh 220,3%,4.9 out of 5,4.9 out of 5(9)
622,Amtec AM-006 Amtec 15000W MULTIMEDIA SYSTEM 2.1CH FM/SD/BT/USB,"KSh 8,039","KSh 9,500",15%,4.3 out of 5,4.3 out of 5(65)
623,Automatic Water Dispenser-Smart Wireless Pump.,KSh 770,"KSh 1,100",30%,4.5 out of 5,4.5 out of 5(82)
624,Fashion 3 In 1 Men's T-Shirt Short Hello Africa Sleeve Shorts Set With Chain Black,KSh 899,"KSh 1,359",34%,3.3 out of 5,3.3 out of 5(13)
625,Portable Laptop Riser Stand Foldable Desktop Laptop Holder With 8 Levels Height,KSh 859,"KSh 1,503",43%,4 out of 5,4 out of 5(31)
626,Bluetooth Keyboard Portable Mini Wireless Keyboard Rechargeable For IPad Tablet,KSh 589,"KSh 1,127",48%,4.2 out of 5,4.2 out of 5(27)
627,Fashion Soft Khaki Trouser Stretch Slim Fit  Casual- off white,"KSh 1,145 - KSh 1,598","KSh 1,149 - KSh 1,598",10%,4.2 out of 5,4.2 out of 5(353)
628,Samsung 15W Galaxy S10+ S8 A10s A20s A30s TYPE C FAST Charger,KSh 799,KSh 900,11%,3.8 out of 5,3.8 out of 5(9)
629,"Skyworth 50G3A, 50″ 4K UHD Frameless Smart Android TV – Black","KSh 43,999","KSh 55,999",21%,4.3 out of 5,4.3 out of 5(15)
630,Oraimo Fast Charging Type C USB Cable,KSh 298,,,4.7 out of 5,4.7 out of 5(47)
631,Top Side Cover Waterproof Mackintosh Mattress Protector (Non-Quilted),"KSh 1,399 - KSh 2,450","KSh 1,859 - KSh 3,000",25%,4.6 out of 5,4.6 out of 5(16)
632,Fashion 2024 Women's Casual Shoes High Heels Boots - Black,KSh 980,"KSh 1,606 - KSh 1,849",47%,4.4 out of 5,4.4 out of 5(92)
633,Zesta Zesta Hot & Sweet Sauce - 720g,KSh 135,KSh 147,8%,4.5 out of 5,4.5 out of 5(33)
634,Fashion Men's Sleeveless Vest - Black/White/Grey,KSh 699,,,4 out of 5,4 out of 5(123)
635,11 Pcs Set Latex Resistance Band Exercise Band Toning Tube,"KSh 1,399","KSh 1,879",26%,3.8 out of 5,3.8 out of 5(19)
636,"Nokia C1 2nd Edition, 5.45"", 1GB +16GB - (DUAL SIM),Android 11, Blue","KSh 7,950","KSh 7,960",1%,4.1 out of 5,4.1 out of 5(150)
637,Bacardi Bacardi Carta De Oro 750ml,"KSh 1,782","KSh 1,944",8%,4.8 out of 5,4.8 out of 5(10)
638,Fashion Men's Leather Loafer Shoes/BLACK,"KSh 4,369 - KSh 4,399","KSh 4,599",5%,4.2 out of 5,4.2 out of 5(32)
639,YOIVY Teeth Whitening Essence Tooth Whitener Remove Stains,KSh 238,KSh 300,21%,3.6 out of 5,3.6 out of 5(11)
640,Wired Headphone // Bluetooth Headphone Wireless +  AUX Cable,KSh 700,"KSh 1,000",30%,3.8 out of 5,3.8 out of 5(16)
641,Fashion 15 Pcs Naked Professional Makeup Brush Set Tools Kit Spray Holder,"KSh 1,250","KSh 1,899",34%,4.4 out of 5,4.4 out of 5(46)
642,Electric Cooker / Single Spiral Coil Hotplate,KSh 990,"KSh 1,800",45%,4 out of 5,4 out of 5(41)
643,2.4G Wireless Gaming Mouse RGB Rechargeable Mice Silent Mouse,KSh 799,"KSh 1,398",43%,4.8 out of 5,4.8 out of 5(22)
644,14 - 43 Inch TV Wall Mounting Bracket,KSh 350,KSh 600,42%,4.5 out of 5,4.5 out of 5(20)
645,Fashion 2 Piece Set Men's T-Shirt & Shorts - Black,"KSh 1,150","KSh 1,690 - KSh 1,766",35%,3.6 out of 5,3.6 out of 5(17)
646,Fashion 12 Pairs Men's Cotton Dress Socks - Assorted,KSh 749,"KSh 1,000",25%,3.7 out of 5,3.7 out of 5(62)
647,Gotv + 1 Month Free (Max) Subscription.,"KSh 1,349","KSh 2,499",46%,4.2 out of 5,4.2 out of 5(913)
648,Geemy Rechargeable  Cordless Shaving Machine With Indicator,"KSh 1,950","KSh 3,000",35%,4.5 out of 5,4.5 out of 5(189)
649,Sathiya 1850W 1.8L Energy Efficient Electric Water Kettle Heater Jug,"KSh 1,159","KSh 1,500",23%,4.2 out of 5,4.2 out of 5(61)
650,Adidas Adilette Aqua Slides Unisex,"KSh 2,760","KSh 4,600",40%,4.3 out of 5,4.3 out of 5(28)
651,Fashion 3Pack Finest Men's Long Sleeve Checked Shirt Slim Fit,"KSh 2,499","KSh 3,000",17%,3.9 out of 5,3.9 out of 5(10)
652,Samsung Galaxy A04e 32GB ROM 3GB RAM 6.5'' 5000mAh Battery - Black,"KSh 14,399","KSh 19,999",28%,4.4 out of 5,4.4 out of 5(40)
653,Fashion Women's Shoes Sneakers Dad Shoes Walking Shoes,"KSh 1,299","KSh 1,782",27%,4.1 out of 5,4.1 out of 5(49)
654,Fashion Quality Casual Stretch Mens Slim Fit Jeans,"KSh 1,299 - KSh 1,399","KSh 1,500",13%,4.7 out of 5,4.7 out of 5(6)
655,Maybelline SuperStay 30H Active Wear Foundation- 56 TOFFEE,"KSh 2,400",,,4.2 out of 5,4.2 out of 5(38)
656,2Meter Window And Doors Sheer,KSh 799,"KSh 1,000",20%,4 out of 5,4 out of 5(20)
657,I13 PRO High Quality Bluetooth Earphone Black,KSh 490,KSh 895,45%,3.5 out of 5,3.5 out of 5(25)
