,name,new_price,old_price,discount,rating,votes
120,Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,KSh 680,"KSh 1,310",48%,4 out of 5,4 out of 5(496)
121,Dr. Rashel Vitamin C Face Serum -50ml.,KSh 445,KSh 599,26%,4.5 out of 5,4.5 out of 5(135)
122,"14""-42"" TV Flat Panel Wall Bracket Holder Black",KSh 345,KSh 500,31%,4.1 out of 5,4.1 out of 5(2329)
123,Fashion Men's Trendy Sneakers - White,"KSh 1,690","KSh 2,373 - KSh 3,000",44%,4.1 out of 5,4.1 out of 5(54)
124,Fashion Men Leather Loafers & Slip-Ons,KSh 888,"KSh 1,638",46%,3.3 out of 5,3.3 out of 5(236)
125,"Skilltech 15"" To 43"" Tilting Wall Mount Bracket",KSh 507,"KSh 1,000",49%,4.3 out of 5,4.3 out of 5(541)
126,AILYONS FK-0310 Stainless Steel 2.2L Electric Water Kettle-Black,"KSh 1,039","KSh 1,599",35%,4.2 out of 5,4.2 out of 5(364)
127,"Geemy Rechargeable Hair Shaving Machine, Shaver- 3 In 1",KSh 950,"KSh 1,500",37%,4.2 out of 5,4.2 out of 5(546)
128,Garnier Micellar Cleansing Water For Sensitive Skin - 400ml,KSh 522,KSh 745,30%,4.5 out of 5,4.5 out of 5(1948)
129,"VON VADZ0002K, Portable Water Dispenser - Black",KSh 959,"KSh 1,295",26%,4.5 out of 5,4.5 out of 5(636)
130,"HUILE Hand Press Pump For Dispenser Suitable Homes,Schools,Offices",KSh 530,KSh 850,38%,4.1 out of 5,4.1 out of 5(210)
131,Qwen Makeup Sponges Beauty Blender Sponge Pink 4pcs /Set,KSh 359,KSh 500,28%,4.6 out of 5,4.6 out of 5(148)
132,"Multicolor Duvet Blanket, Sheet, 2 Pillow Cases","KSh 1,749 - KSh 2,999","KSh 2,900 - KSh 4,000",46%,3.9 out of 5,3.9 out of 5(241)
133,VON Von VALS-75BWY Twin Tub Washing Machine - 7.5Kg,"KSh 20,995","KSh 26,995",22%,4.4 out of 5,4.4 out of 5(106)
134,"VON VART-18DMY, Double Door Fridge, 138L - Silver","KSh 34,899","KSh 42,995",19%,4.5 out of 5,4.5 out of 5(175)
135,Fashion Pendant Necklaces Choker Chain Tiny Bird Jewelry,KSh 169,KSh 300,44%,4 out of 5,4 out of 5(470)
136,"6"" Ring Light Mirror For Selfie YouTube Video Phone Holder Stand Shooting With 3 Light Modes",KSh 699,"KSh 1,149",39%,4.2 out of 5,4.2 out of 5(77)
137,"Samsung Galaxy A14, 6.6"", 128GB + 4GB(Dual SIM), 5000 MAh, +CLASSY  GIFTS","KSh 25,999","KSh 41,000",37%,4.4 out of 5,4.4 out of 5(48)
138,Nunix SC-002 Table Top Double Burner Gas Stove Cooker,"KSh 2,024",,,4.1 out of 5,4.1 out of 5(67)
139,"Tecno Spark 10 , 6.6"" FHD,128GB ROM+8GB RAM (4G-LTE Dual SIM),5000mAh,Meta Black","KSh 18,199","KSh 19,499",7%,4.4 out of 5,4.4 out of 5(53)
140,Fresh Fri Fresh Fri Triple Refined Vegetable Cooking Oil - 3 Litres,KSh 797,"KSh 1,050",24%,4.6 out of 5,4.6 out of 5(1264)
141,Fashion 6Pcs Pure Cotton Checked Men's Boxers – Multicolor,"KSh 799 - KSh 1,199","KSh 1,250",36%,3.9 out of 5,3.9 out of 5(1755)
142,Fashion 10pcs Makeup Brushes Set For Foundation -Black,KSh 499,KSh 600,17%,4.2 out of 5,4.2 out of 5(437)
143,HP 64GB Flash Disk With Clip+Free Earphones,KSh 945,"KSh 1,500",37%,4.3 out of 5,4.3 out of 5(94)
144,Maybelline Superstay Matte Ink Liquid Lipstick - 20 Pioneer,"KSh 1,840","KSh 2,300",20%,4.5 out of 5,4.5 out of 5(780)
145,Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover.,KSh 760,"KSh 1,359",44%,3.9 out of 5,3.9 out of 5(132)
146,Maybelline Fit Me Hydrating Primer Luminous And Smooth,"KSh 1,120","KSh 1,400",20%,4.6 out of 5,4.6 out of 5(335)
147,Fashion Couple Canvas Low Top Lace-up Shoes Classic Casual Sneakers Black,KSh 999,"KSh 1,500",33%,4.7 out of 5,4.7 out of 5(45)
148,NIVEA Lemongrass & Oil Shower Gel For Women - 250ml (Pack Of 2),KSh 750,"KSh 1,190",37%,4.7 out of 5,4.7 out of 5(651)
149,Electric Automatic Water Dispenser Pump Rechargeable White,KSh 590,"KSh 1,000",41%,3.6 out of 5,3.6 out of 5(173)
150,Maybelline Sky High Lash Sensational Mascara - Black,"KSh 1,725","KSh 2,300",25%,4.6 out of 5,4.6 out of 5(160)
151,"Nokia C32, 64GB + 4GB (Upto 7GB RAM) 5000MAh, Android 13, Black-Charcoal","KSh 14,999","KSh 19,999",25%,4.3 out of 5,4.3 out of 5(89)
152,Gilbey's Gilbey's Gilbeys Gin - 750 ML,"KSh 1,364","KSh 1,488",8%,4.2 out of 5,4.2 out of 5(56)
153,Sonar C7 Hot And Normal Water Dispenser -blue And White,"KSh 3,609","KSh 6,199",42%,4.2 out of 5,4.2 out of 5(154)
154,VON 1.7L CORDLESS KETTLE VSKL17BNK WHITE AND BLACK,"KSh 2,395",,,4.4 out of 5,4.4 out of 5(160)
155,AILYONS ELP2403K 2.1CH SubWoofer Home Theatrer Multi Media Speaker System,"KSh 2,899","KSh 3,999",28%,3.9 out of 5,3.9 out of 5(39)
156,Langman 9 Colors Makeup Eyeshadow Palette Eye Shadow Glitter,KSh 399,KSh 600,34%,4.4 out of 5,4.4 out of 5(780)
157,Oraimo FreePods Lite ENC 40-hour Playtime Havybass True Wireless Earbuds,"KSh 2,100","KSh 2,508",16%,4.6 out of 5,4.6 out of 5(72)
158,LED 2.4G Rechargeable Wireless Mouse,KSh 520,"KSh 1,000",48%,4.5 out of 5,4.5 out of 5(723)
159,Fashion Men Pants Trousers Overalls Cargo Pants Men Clothes,KSh 759,"KSh 1,329",43%,3.6 out of 5,3.6 out of 5(34)
160,Fashion Monkey Bag Travel,"KSh 1,499","KSh 1,709",12%,4.2 out of 5,4.2 out of 5(60)
161,Fashion Anti-slip Boy Shoes Kids Beach Sandal - Blue& Red,KSh 690,"KSh 1,200",43%,5 out of 5,5 out of 5(2)
