,new_price,old_price,discount,rating,votes
new_price,1.0,0.7435252975794805,-0.14078946324138347,0.04183330654205066,-0.005372091889569
old_price,0.7435252975794805,1.0,-0.03146464906873744,0.010669635793138477,-0.027583337795140925
discount,-0.14078946324138347,-0.03146464906873744,1.0,-0.08301037572526992,-0.04663727272772118
rating,0.04183330654205066,0.010669635793138477,-0.08301037572526992,1.0,-0.03822744965154311
votes,-0.005372091889569,-0.027583337795140925,-0.04663727272772118,-0.03822744965154311,1.0
