,new_price,old_price,discount,rating,votes
new_price,1.0,0.9417740594635116,-0.1367461308921241,0.03224495099373685,-0.025778097408569487
old_price,0.9417740594635116,1.0,-0.0720219848574622,0.02450884360863434,-0.026986869393274812
discount,-0.1367461308921241,-0.0720219848574622,1.0,-0.09192037937369045,-0.06217353035297923
rating,0.03224495099373685,0.02450884360863434,-0.09192037937369045,1.0,0.03590176033278235
votes,-0.025778097408569487,-0.026986869393274812,-0.06217353035297923,0.03590176033278235,1.0
