,new_price,old_price,discount,rating,votes
new_price,1.0,0.8720150313258357,-0.20183116004778626,0.06083924683435581,-0.00780106573483356
old_price,0.8720150313258357,1.0,-0.04448334762966625,0.014468949935464237,-0.03966463113455494
discount,-0.20183116004778626,-0.04448334762966625,1.0,-0.11881187925963119,-0.06656638314980251
rating,0.06083924683435581,0.014468949935464237,-0.11881187925963119,1.0,-0.0628784351846977
votes,-0.00780106573483356,-0.03966463113455494,-0.06656638314980251,-0.0628784351846977,1.0
