,name,new_price,old_price,discount,rating,votes
46,Premier Washing Machine Twin Tub 10kg Washer 6kg Dryer,25999.0,"KSh 28,340",8%,3.8 out of 5,3.8 out of 5(8)
47,Red Berry RB134 - 4 In 1 Blender - 300W - Black,3584.0,,,,
48,Nunix Nunix 7.5KG Twins Tub Washing Machine,18480.0,,,5 out of 5,5 out of 5(1)
49,Martini Martini Fierro 750ml,1499.0,"KSh 2,577",42%,4.6 out of 5,4.6 out of 5(17)
50,Fay Fay Kitchen Towels Twin Pack,226.0,KSh 362,38%,4.7 out of 5,4.7 out of 5(3)
51,Ramtons EB/303 4 Gas 55x55 Dark Red Cooker,27172.0,"KSh 29,300",7%,5 out of 5,5 out of 5(1)
52,"Ramtons RF/173, 2 Door Direct Cool Fridge, 128 Litres - Silver",36415.0,"KSh 39,300",7%,5 out of 5,5 out of 5(1)
53,Jameson Jameson Black Barrel Irish Whiskey - 750ml,4076.0,"KSh 4,407",8%,4.9 out of 5,4.9 out of 5(14)
54,"Nunix 50 * 60cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven",25849.0,"KSh 25,850",1%,,
55,Boma SANDWICH TOASTER BM-722,1584.0,,,5 out of 5,5 out of 5(1)
56,Malfy Malfy Gin Con Rosa - 750ml,3724.0,"KSh 4,026",8%,4.9 out of 5,4.9 out of 5(7)
57,Beefeater Beefeater London Pink Gin - 750ML,2199.0,"KSh 3,070",28%,4.7 out of 5,4.7 out of 5(31)
58,Red Berry RSF811 Insulated Double Wall Vacuum Bottle – 800ml - Black,840.0,,,,
59,Inverroche Inverroche Classic Gin - 750ml,3899.0,"KSh 4,888",20%,5 out of 5,5 out of 5(1)
60,Inverroche Inverroche Amber Gin - 750ml,3880.0,"KSh 4,888",21%,5 out of 5,5 out of 5(2)
61,Campo Viejo Campo Viejo Reserva Red Wine - 750 ML,1599.0,"KSh 2,066",23%,4.7 out of 5,4.7 out of 5(9)
62,Malfy Malfy Gin Con Limone - 750ml,3708.0,"KSh 4,014",8%,5 out of 5,5 out of 5(2)
63,Ramtons RF/171 - 2 Door Direct Cool Fridge - 128 Litres - Mar Silver,35947.0,"KSh 38,800",7%,,
64,Durbanville Durbanville Shiraz - 750ml,1182.0,"KSh 1,669",29%,4.8 out of 5,4.8 out of 5(6)
65,Inverroche Inverroche Verdant Gin - 750ml,3899.0,"KSh 4,888",20%,4.7 out of 5,4.7 out of 5(3)
66,Hennessy Hennessy XO - 700ml,24086.0,"KSh 34,004",29%,,
67,Martell Martell XO - 700ml,29376.0,"KSh 31,758",8%,,
68,Catena Catena Catena Malbec Red 750 ml,3037.0,"KSh 3,283",7%,,
69,Rashnik RN-8011 200w Solar Light,1595.0,"KSh 1,668",4%,,
70,Ballantine Ballantine 12 Years Old Whisky - 750ml,3899.0,"KSh 5,031",23%,4.8 out of 5,4.8 out of 5(4)
71,Absolut Absolut Vanilla Flavoured Vodka - 750ml,1499.0,"KSh 2,348",36%,4.8 out of 5,4.8 out of 5(16)
72,Red Berry RSF810 Insulated Double Wall Vacuum Bottle – 700ml - Black,792.0,,,,
73,Graham Graham Beck Brutt Sparkling 750ml,3792.0,"KSh 4,099",7%,,
74,Nederburg Nederburg Shiraz - 750ml,1664.0,"KSh 1,997",17%,3.7 out of 5,3.7 out of 5(3)
75,Beefeater Beefeater London Blood Orange Gin - 700ML,2199.0,"KSh 2,886",24%,4.7 out of 5,4.7 out of 5(27)
76,The Glenlivet The Glenlivet Whisky 15 Years - 700ml,8026.0,"KSh 8,677",8%,,
77,Ramtons Rw/115 -twin Tub 8kg Washer - White,28689.0,"KSh 35,900",20%,,
78,Ballantine's Ballantine's Whisky 12 Year 750ml,4435.0,"KSh 4,795",8%,4 out of 5,4 out of 5(1)
79,Chivas Chivas Regal Whisky 18 Years - 750ml,8264.0,"KSh 8,934",7%,,
80,915 Generation Lovely Three Black Cat DIY Wall Stickers Animal Room Wall,123.0,KSh 215,43%,4 out of 5,4 out of 5(1)
81,Grafting Shearing Grafting Machine Tool Grafting,2972.0,"KSh 5,409",45%,,
82,Nose Up Bridge Straightening Beauty,255.0,KSh 459,44%,,
83,A2212 1400Kv Brushless Outrunner Motor with 30A Brushless,1607.0,"KSh 3,213",50%,,
84,Smart Coffee Scale with Timer Kitchen Scales USB Charging,3327.0,"KSh 6,654",50%,,
85,"Headband Wristband Set,Wristband Sports Band for Men and",543.0,"KSh 1,086",50%,,
