,name,new_price,old_price,discount,rating,votes
54,NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),960.0,1302.0,0.26,4.7,1130.0
55,Yixin 3 Pack Men's Summer Loose Short Sleeve T-shirt,919.0,1671.0,0.45,3.8,147.0
56,"Oppo A18,6.6"",128GB+4GB, 8MP, 90Hz, 5000mAh (Dual Sim) Glowing Black",17613.0,19999.0,0.12,4.5,2.0
57,Waanzilish Mens Sneakers Shoes Outdoor Hiking Shoes Non-slip Sports Shoes Breathable Blue,1050.0,1500.0,0.3,4.2,328.0
58,Tws Wireless Bluetooth Headsets Earphones Pro4,609.0,899.0,0.32,4.3,8.0
59,Vitron HTC5068US 50&rdquo; Smart Android 4K UHD LED TV - Black,36650.0,39999.0,0.08,4.2,43.0
60,Jameson Jameson Irish Whiskey - 1 Litre,2988.0,3827.0,0.22,4.6,246.0
61,Sundabest 1.5l Stainless Steel Vacuum Coffee Pot Vacuum Thermos Flask Kettle - Silver,799.0,828.0,0.04,4.5,20.0
62,"6pcs Mixed Assorted Colours, Llight Cotton Fabric Waist 28-32 Inches 28-32 Inches",599.0,899.0,0.33,3.4,45.0
63,"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",780.0,1040.0,0.25,4.6,835.0
64,Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,680.0,1310.0,0.48,4.0,505.0
65,"Vitron 4388-FS 43""inch FHD Frameless Smart/Android TV InbuiltDecoder/+TVGuard+Bracket",24698.0,30000.0,0.18,4.3,134.0
66,"Infinix Note 30 4G, 6.66"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Obsidian Black",24999.0,38999.0,0.36,4.4,33.0
67,Garnier Bye Acne & Dark Spots Kit.,3608.0,4245.0,0.15,4.3,680.0
68,Qasil Naturals Qasil Powder Organic & Multi-purpose Skincare,559.0,900.0,0.38,4.3,366.0
69,"NIVEA Pearl & Beauty Black Pearl Fine Fragrance Anti-Perspirant Roll-On, 48h - 50ml (Pack Of 2)",780.0,1070.0,0.27,4.7,228.0
70,"Infinix Smart 8, 6.6"", 128GB + 4GB RAM, 5000mAh, 4G (Dual SIM) - Timber Black",15999.0,17999.0,0.11,4.4,18.0
71,ARHANORY Phone Tripod Stand Mobile Phone Holder Mount Ring Light Set Selfie Stick-Black,456.0,894.0,0.49,4.1,493.0
72,Modio  5G Tablet - Kids Android Tablets PC M730.,11999.0,15000.0,0.2,,
73,Fashion Women Shoes Ladies Shoes For Women Shoe,629.0,1180.0,0.47,3.8,107.0
74,Samsung Galaxy A04e 32GB ROM 3GB RAM 6.5'' 5000mAh Battery - Black,13967.0,19999.0,0.3,4.4,41.0
75,Ceriotti GEK 3800watts// Blow Dry Hair,3229.0,4000.0,0.19,,
76,Inflatable Deluxe Lounge Seat Set,6500.0,8500.0,0.24,,
77,Annov Dry Iron -  White,749.0,919.0,0.18,4.1,71.0
78,Fashion Ladies Sneaker Shoes Causal Shoes Buy A Size Larger Than Usual White,1050.0,1500.0,0.3,4.1,287.0
79,Quality Wooden Bamboo Double Sided Chopping Board,1500.0,2000.0,0.25,,
80,Pneumatic Manual Hand Lever Control Components Air Valve Toggle Style,3060.0,6119.0,0.5,,
81,Santa Apron Grid Easy To Wash Feet Decor-Black Whi,1082.0,2163.0,0.5,,
82,For IPhone 12 PRO MAX Cellphone Skins Phone Case,2070.0,2957.0,0.3,,
83,Lenovo Phab 2 Case Soft TPU Shock Proof Phone Cover Case,899.0,1299.0,0.31,,
84,New Professional Useful High Quality Soft 52cm Alto Saxophone Cleaning Cleaner Brush Sax Parts Tool Remover Accessories,1337.0,2019.0,0.34,,
85,Wooden Fish-Shaped Massage Tool Relax Wooden Foot Roller,499.0,924.0,0.46,,
86,For Xiaomi Mi 10S Glass Film,1699.0,2427.0,0.3,,
87,US K Type Black High Temperature Pyrometer + Probe Kit 1300℃ 2327℉,4777.0,9553.0,0.5,,
88,"200W 40 Ports USB Digital Display Smart Charging Station AC100-240V, UK Plug (Black+Orange)",9799.0,13999.0,0.3,,
89,Nail Rhinestone Beads Mixed Color Stone Manicuring,1428.0,1692.0,0.16,,
90,1PC Leaves Shape Tea Strainers Leaf Tea Filter Bodhi,1257.0,1760.0,0.29,,
91,For Huawei Honor 20s 50 PCS 0.26mm 9H 2.5D Tempered Glass Film,3799.0,,,,
92,Front Facing Camera Module  For Galaxy Note 5 / N920,299.0,427.0,0.3,,
93,Magicyoyo K1 Spin Abs Yoyo 8 Ball Kk Bearing With Spinning,716.0,1353.0,0.47,,
94,Men's Streetwear Fashion Casual Hip Hop Cargo Pants,2969.0,3860.0,0.23,,
95,1M Car Voltage Circuit Tester For 6-24V DC Long Systems Probe Continuity Test Light,899.0,1284.0,0.3,,
96,Universal HD Screen Protector For 15.6 Inch Laptops,1199.0,1713.0,0.3,,
97,Protable Professional Headset Headphone Earphone Adapter Converter For Xbox 360 Controller White (white),1347.0,2693.0,0.5,,
98,Haweel 3m Type-C To USB 2.0 Data & Charging Cable,499.0,713.0,0.3,,
99,Crystal Candle Holder Romantic Ornament Decor,1524.0,1980.0,0.23,,
100,Flower Nail Rhinestone For Acrylic Nails Art Supplies With,227.0,435.0,0.48,,
101,Buckle Case For Google Pixel 3a,699.0,1258.0,0.44,,
102,Fashion Megir Blue Leather Mens Watches Business Wristwatch,3774.0,6282.0,0.4,,
103,SIM Card Tray + SIM Card Tray + Micro SD Card Tray For Galaxy A10(Black),199.0,284.0,0.3,,
104,Universal Spiral Flexible Clip On Mobile Phone Tablet-Black,1060.0,2110.0,0.5,,
105,540 Gradient Color Origami Stars Paper Strips Double Sided,2301.0,2863.0,0.2,,
106,Samsung Embossing Pattern PU Case,799.0,1141.0,0.3,,
107,Samsung Galaxy S22 Ultra Clear Bumper Phone Case,630.0,1260.0,0.5,,
108,Blue And White Male Urinal Urine Bottle Pee Holder 2000ml For Travel & Camping,2960.0,5919.0,0.5,,
109,Leather Phone Case For Samsung Galaxy Z Flip 4,756.0,1400.0,0.46,,
110,Xiaomi Redmi K20 Case with Tempered Glass Screen Protector,769.0,1538.0,0.5,5.0,1.0
